nombre,correo,contraseña,rol,fecha_registro
Carlos García,carlos.garcía75@gmail.com,b99ddd77e59c96b13b64b3abe1902db4c0a76dabf8622aa6c71f8f5670be6625,estudiante,2025-02-07 17:25:59.720394
Carlos Hernández,carlos.hernández3@gmail.com,871431053023291d24b403f1f9d761c6f01b3050a0a83cd9d9759a970f8d4d92,admin,2023-08-23 17:25:59.720401
Carlos Martínez,carlos.martínez90@gmail.com,51d11024031a8951b4722671adfc8587538f5e5417206e7862e60752758a5c35,admin,2023-10-22 17:25:59.720407
Ana Rodríguez,ana.rodríguez58@gmail.com,2d6b3bb57cb9e22fa36516172ef096b30ae00d08eedc1499c599b6269975521d,estudiante,2024-09-12 17:25:59.720414
Luis Gómez,luis.gómez36@gmail.com,d0f82756c4d40d20e1fdbc90cf4da4adff02fe23b355687525880514642f764e,profesor,2025-02-12 17:25:59.720420
Juan Ramírez,juan.ramírez62@gmail.com,8893186d24cce07e1c82f2e020d41177e699318b4be9535483fdf55edf58cd50,profesor,2024-12-01 17:25:59.720426
María García,maría.garcía20@gmail.com,cafdc894eacc597ad76db1a750ccb876d4ed69c73b7d3d23f5e3a9e3b5c9fc2e,profesor,2024-05-01 17:25:59.720432
Luis Hernández,luis.hernández16@gmail.com,0028e1c0d2c60966390545414567d33bca9f0165fece6d0109c59a3f29b5fdd0,admin,2023-02-21 17:25:59.720439
María Martínez,maría.martínez83@gmail.com,45e17065ddc6fb3a682f7732df5804652952dbe1f5ca5377a661515a8fcf66be,estudiante,2024-01-30 17:25:59.720445
Luis López,luis.lópez67@gmail.com,43b3ec9ea3961a319d37b4cc775d3f43f68709b62a93db10dd6c598137f28732,admin,2024-03-08 17:25:59.720451
Andrés Hernández,andrés.hernández55@gmail.com,034a0cdf079dfa3ca924e07e3c509bbf50768d1949b021c0ea0030cff80ba4d1,estudiante,2024-02-05 17:25:59.720458
Sofía Gómez,sofía.gómez88@gmail.com,53f6f072e26d36b9e55d5dc828872856d5286f18ce3818d367f9e4473e464a66,estudiante,2024-02-05 17:25:59.720464
Ana Martínez,ana.martínez53@gmail.com,85fcbe6bf830f23209ea6a932921e8da31a653a24a20cb84e75c4997e505690b,admin,2025-09-02 17:25:59.720471
María Pérez,maría.pérez10@gmail.com,3b3ad733c8571384c133694595c33d96c638b36f08a484bd0ad38bf312fdb294,profesor,2023-09-21 17:25:59.720477
Valentina Martínez,valentina.martínez37@gmail.com,451a8149ebd58dbd064e3337c6de5d4f4bb08cd70bbbd48d62a205bd706b6bb0,profesor,2025-09-24 17:25:59.720483
Carlos Gómez,carlos.gómez3@gmail.com,0756810289814362efbea8bb826fea0a7bc4318a7f22a4b27b48290cd39951a3,profesor,2023-02-21 17:25:59.720490
Sofía García,sofía.garcía57@gmail.com,94cd5db06baf087fd56c0042adc1deb162d271acfb8b3eb0277069517998d489,profesor,2024-02-26 17:25:59.720496
Luis Rodríguez,luis.rodríguez29@gmail.com,5a66c7ba1398dd71c92a77cc7647c4183e6bf97b227e441bb2674a319b184e63,admin,2024-06-16 17:25:59.720503
Carlos Pérez,carlos.pérez62@gmail.com,133f8a05107e5442771c85da3dec70050ae5f3273849326b4a4e2ceaab2ef058,admin,2024-08-12 17:25:59.720509
Sofía Gómez,sofía.gómez80@gmail.com,1a31ac086ebf1341c916929e6d982767cd8568887d7c930ba8abd062afa08eac,profesor,2023-11-23 17:25:59.720515
Ana García,ana.garcía3@gmail.com,b64171fda74426604480b9bf7c10ccdc2ebc80266c8667c42346f54ce87d4dec,profesor,2025-01-21 17:25:59.720521
Camila Martínez,camila.martínez67@gmail.com,099646084abbbc2c403c480bea87e7de23ce18db73a3e28251effef3ed49f1ea,estudiante,2025-07-14 17:25:59.720530
Ana Rodríguez,ana.rodríguez63@gmail.com,d88a53cd8ffe65ab18d2c62882479559aa781642ce7a8d340b22fc0a637b0359,profesor,2023-03-28 17:25:59.720538
Camila Gómez,camila.gómez29@gmail.com,a8a5146b1f97c2c8987ccb3a87d2f30b8aa258c2a32cb96115bf381d42df875c,estudiante,2023-03-07 17:25:59.720544
Luis Gómez,luis.gómez95@gmail.com,de3543c757d459090b9adaf9a80a54d54724a0f1600d4c77d6017dde58cf1189,estudiante,2025-03-31 17:25:59.720551
Ana Martínez,ana.martínez99@gmail.com,db9aa0719dbf5cac40e44b268042014e9bc28b4134df9051a35f8c64f6603b6f,admin,2025-01-10 17:25:59.720557
Valentina López,valentina.lópez14@gmail.com,147eb7dd0f4c59120be8adb20f9dc4d4a0ccb27a0d48d7546dfa171dd980f075,admin,2025-07-19 17:25:59.720564
Luis Ramírez,luis.ramírez80@gmail.com,64bf83fcf172a284e3db6b4cc76bb175184ee9dd57e77f0421e3e401ea3858e0,admin,2023-08-31 17:25:59.720570
Carlos López,carlos.lópez28@gmail.com,3f1b954c84d8216e09ae793664571dedb1e1bcc9a2bfdc2b6dc58db9a24fa7de,profesor,2024-04-17 17:25:59.720576
Ana García,ana.garcía53@gmail.com,dbb70b94b6b192a1085e8056872daa4eb24002d47c82e88b1323f1a5882567ba,estudiante,2024-04-30 17:25:59.720582
Valentina Pérez,valentina.pérez50@gmail.com,ffe4daf45af0e803fbe1fba2de5c7f7644f30b71ddb082100779d7884e0291c2,estudiante,2024-04-21 17:25:59.720589
Carlos Gómez,carlos.gómez81@gmail.com,a0c69ae7ad7629347d41a89d9a558b26bd9b126a3a183f3498444843acd7270d,estudiante,2025-01-17 17:25:59.720595
