nombre,correo,contraseña,rol,fecha_registro
Andrés Gómez,andrés.gómez55@gmail.com,871431053023291d24b403f1f9d761c6f01b3050a0a83cd9d9759a970f8d4d92,estudiante,2023-05-19 15:55:46.990224
Andrés Gómez,andrés.gómez51@gmail.com,51d11024031a8951b4722671adfc8587538f5e5417206e7862e60752758a5c35,estudiante,2025-09-23 15:55:46.990231
Luis López,luis.lópez43@gmail.com,2d6b3bb57cb9e22fa36516172ef096b30ae00d08eedc1499c599b6269975521d,admin,2023-05-13 15:55:46.990238
Valentina Rodríguez,valentina.rodríguez89@gmail.com,d0f82756c4d40d20e1fdbc90cf4da4adff02fe23b355687525880514642f764e,estudiante,2025-03-16 15:55:46.990246
Juan Rodríguez,juan.rodríguez26@gmail.com,8893186d24cce07e1c82f2e020d41177e699318b4be9535483fdf55edf58cd50,estudiante,2024-07-16 15:55:46.990254
Carlos Hernández,carlos.hernández64@gmail.com,cafdc894eacc597ad76db1a750ccb876d4ed69c73b7d3d23f5e3a9e3b5c9fc2e,estudiante,2025-05-14 15:55:46.990273
Ana López,ana.lópez9@gmail.com,0028e1c0d2c60966390545414567d33bca9f0165fece6d0109c59a3f29b5fdd0,profesor,2024-04-19 15:55:46.990282
Ana García,ana.garcía67@gmail.com,45e17065ddc6fb3a682f7732df5804652952dbe1f5ca5377a661515a8fcf66be,estudiante,2024-05-27 15:55:46.990292
Juan Martínez,juan.martínez77@gmail.com,43b3ec9ea3961a319d37b4cc775d3f43f68709b62a93db10dd6c598137f28732,profesor,2024-08-24 15:55:46.990300
Ana Pérez,ana.pérez63@gmail.com,034a0cdf079dfa3ca924e07e3c509bbf50768d1949b021c0ea0030cff80ba4d1,profesor,2025-01-08 15:55:46.990307
Ana Gómez,ana.gómez82@gmail.com,53f6f072e26d36b9e55d5dc828872856d5286f18ce3818d367f9e4473e464a66,admin,2023-04-05 15:55:46.990315
Sofía Ramírez,sofía.ramírez82@gmail.com,85fcbe6bf830f23209ea6a932921e8da31a653a24a20cb84e75c4997e505690b,admin,2025-02-27 15:55:46.990323
Luis Ramírez,luis.ramírez54@gmail.com,3b3ad733c8571384c133694595c33d96c638b36f08a484bd0ad38bf312fdb294,admin,2024-09-08 15:55:46.990330
Camila Hernández,camila.hernández72@gmail.com,451a8149ebd58dbd064e3337c6de5d4f4bb08cd70bbbd48d62a205bd706b6bb0,estudiante,2023-04-02 15:55:46.990338
María Gómez,maría.gómez5@gmail.com,0756810289814362efbea8bb826fea0a7bc4318a7f22a4b27b48290cd39951a3,profesor,2024-01-20 15:55:46.990345
Luis Hernández,luis.hernández4@gmail.com,94cd5db06baf087fd56c0042adc1deb162d271acfb8b3eb0277069517998d489,admin,2025-10-21 15:55:46.990353
Andrés López,andrés.lópez24@gmail.com,5a66c7ba1398dd71c92a77cc7647c4183e6bf97b227e441bb2674a319b184e63,profesor,2023-11-26 15:55:46.990360
Valentina Gómez,valentina.gómez92@gmail.com,133f8a05107e5442771c85da3dec70050ae5f3273849326b4a4e2ceaab2ef058,profesor,2024-09-18 15:55:46.990367
Camila Rodríguez,camila.rodríguez53@gmail.com,1a31ac086ebf1341c916929e6d982767cd8568887d7c930ba8abd062afa08eac,profesor,2023-05-12 15:55:46.990375
Sofía Martínez,sofía.martínez76@gmail.com,b64171fda74426604480b9bf7c10ccdc2ebc80266c8667c42346f54ce87d4dec,profesor,2024-07-15 15:55:46.990383
Ana Gómez,ana.gómez25@gmail.com,099646084abbbc2c403c480bea87e7de23ce18db73a3e28251effef3ed49f1ea,admin,2025-06-05 15:55:46.990391
Camila Martínez,camila.martínez17@gmail.com,d88a53cd8ffe65ab18d2c62882479559aa781642ce7a8d340b22fc0a637b0359,admin,2025-09-29 15:55:46.990398
Andrés García,andrés.garcía8@gmail.com,a8a5146b1f97c2c8987ccb3a87d2f30b8aa258c2a32cb96115bf381d42df875c,admin,2023-07-09 15:55:46.990406
Pedro Ramírez,pedro.ramírez78@gmail.com,de3543c757d459090b9adaf9a80a54d54724a0f1600d4c77d6017dde58cf1189,estudiante,2024-11-11 15:55:46.990414
Pedro Rodríguez,pedro.rodríguez18@gmail.com,db9aa0719dbf5cac40e44b268042014e9bc28b4134df9051a35f8c64f6603b6f,profesor,2024-07-16 15:55:46.990423
Luis Martínez,luis.martínez68@gmail.com,147eb7dd0f4c59120be8adb20f9dc4d4a0ccb27a0d48d7546dfa171dd980f075,estudiante,2024-07-27 15:55:46.990433
Valentina López,valentina.lópez11@gmail.com,64bf83fcf172a284e3db6b4cc76bb175184ee9dd57e77f0421e3e401ea3858e0,admin,2023-06-15 15:55:46.990440
Luis Gómez,luis.gómez97@gmail.com,3f1b954c84d8216e09ae793664571dedb1e1bcc9a2bfdc2b6dc58db9a24fa7de,profesor,2025-10-28 15:55:46.990447
María López,maría.lópez74@gmail.com,dbb70b94b6b192a1085e8056872daa4eb24002d47c82e88b1323f1a5882567ba,estudiante,2025-06-06 15:55:46.990454
Valentina Martínez,valentina.martínez33@gmail.com,ffe4daf45af0e803fbe1fba2de5c7f7644f30b71ddb082100779d7884e0291c2,admin,2024-09-13 15:55:46.990462
Ana Rodríguez,ana.rodríguez61@gmail.com,a0c69ae7ad7629347d41a89d9a558b26bd9b126a3a183f3498444843acd7270d,estudiante,2025-07-01 15:55:46.990471
